"";"string";"cluster";"distanceToCenter"
"1";"PELLWORM";38;8
"2";"OBERDERDINGEN";95;11
"3";"LIST";38;4
"4";"TREBEL";38;6
"5";"ZAHNA";38;5
"6";"WÖRLITZ";38;7
"7";"GROSSSCHWEIDNITZ";23;13
"8";"DITTERSDORF";136;5
"9";"NAUORT";33;5
"10";"WINTERBERG";198;7
"11";"OBERELSBACH";194;5
"12";"MÜNSTER-SARMSHEIM";145;14
"13";"ELDENA";164;0
"14";"OBEROSTENDORF";113;8
"15";"NORDGERMERSLEBEN";38;16
"16";"SCHÖNAU";33;6
"17";"ERLIGHEIM";185;8
"18";"FORCHTENBERG";76;8
"19";"RONSBERG";38;8
"20";"JAHNSBACH";194;7
"21";"SCHWABSTEDT";171;9
"22";"BREHNA";38;6
"23";"OSTERBURKEN";38;11
"24";"HEINSEN";38;7
"25";"UELZEN";38;6
"26";"BARUM";38;5
"27";"ATTENDORN";113;4
"28";"BEUREN (HOCHWALD)";115;0
"29";"EICHSTÄTT";38;9
"30";"SELIGENTHAL";25;9
"31";"WIPPRA";38;6
"32";"PLIENING";38;8
"33";"THEDINGHAUSEN";12;11
"34";"HOHBERG";98;5
"35";"NEUHOFEN";45;0
"36";"IMMENSTAAD AM BODENSEE";38;22
"37";"SPEYER";38;6
"38";"WESTERLAND";38;10
"39";"DORNHAN";33;6
"40";"HAUSEN";12;4
"41";"HENNEF (SIEG)";38;13
"42";"HEUSTREU";38;8
"43";"STOTTERNHEIM";185;9
"44";"NOTTULN";38;7
"45";"HASSERODE";38;9
"46";"KÖNIGSWALDE";2;9
"47";"OBERLICHTENAU";122;11
"48";"TARP";38;4
"49";"DASING";85;5
"50";"EPPERTSHAUSEN";90;0
"51";"BATTENBERG (EDER)";76;13
"52";"BRÄUNLINGEN";95;7
"53";"FORSTERN";143;7
"54";"TRABITZ";38;7
"55";"WALLENDORF";113;7
"56";"NEU WULMSTORF";80;9
"57";"EBRACH";38;6
"58";"RADBRUCH";38;8
"59";"BELL (HUNSRÜCK)";38;15
"60";"URACH";38;5
"61";"ÖHRINGEN";95;6
"62";"RATZENHOFEN";45;9
"63";"SCHWETZINGEN";197;8
"64";"RAMSIN";38;6
"65";"BUCH AM BUCHRAIN";38;16
"66";"TRÖGLITZ";64;0
"67";"UETERSEN";38;8
"68";"SCHWARZACH AM MAIN";125;17
"69";"ÜXHEIM";185;5
"70";"SCHWARZENBACH AM WALD";190;18
"71";"WEIL";38;4
"72";"GÜSEN";38;5
"73";"LEIWEN";38;6
"74";"INGOLDINGEN";95;9
"75";"ESCHAU";173;5
"76";"THEMAR";38;6
"77";"NÜSTTAL";38;7
"78";"BAD WIMPFEN";38;11
"79";"DRANGSTEDT";38;10
"80";"HEILIGENHAUS";107;11
"81";"SEELBACH";38;8
"82";"ÜBERSEE";38;7
"83";"VEILSDORF";22;4
"84";"BADEM";38;5
"85";"GERHARDSHOFEN";175;0
"86";"SCHORNDORF";114;4
"87";"SCHALKSMÜHLE";21;12
"88";"KRAILING";38;8
"89";"SIERSHAHN";186;8
"90";"GITTELDE";117;6
"91";"GIEBELSTADT";55;10
"92";"BECHTOLSHEIM";185;11
"93";"HORN-BAD MEINBERG";70;0
"94";"GYHUM";38;3
"95";"NEUHAUS AN DER PEGNITZ";38;22
"96";"ALBERSDORF";86;6
"97";"HERLESHAUSEN";12;10
"98";"NEULER";38;6
"99";"NORDLEDA";38;8
"100";"WENDELSTEIN";32;10
"101";"TOLLWITZ";38;8
"102";"GOSSERSWEILER-STEIN";19;15
"103";"FÜRSTENBERG";76;7
"104";"KLEINOLBERSDORF-ALTENHAIN";86;21
"105";"REICHARTSHAUSEN";90;10
"106";"HOFHEIM IN UNTERFRANKEN";110;22
"107";"TEISNACH";38;8
"108";"NIENBURG";170;7
"109";"GEMÜNDEN AM MAIN";140;14
"110";"ENZKLÖSTERLE";38;12
"111";"ATZENDORF";113;6
"112";"SÜSSEN";38;6
"113";"MENDEN (SAUERLAND)";140;16
"114";"SCHILLINGEN";30;7
"115";"NANDLSTADT";55;9
"116";"MOORBAD LOBENSTEIN";120;16
"117";"WECHINGEN";30;5
"118";"ORTMANNSDORF";61;7
"119";"BLEKENDORF";17;6
"120";"LOSSBURG";146;7
"121";"OBERNZENN";149;7
"122";"DONZDORF";86;6
"123";"NIDDERAU";186;7
"124";"GRANA";33;4
"125";"RHENS";38;5
"126";"LEGAU";38;5
"127";"SALGEN";38;6
"128";"WINHÖRING";38;9
"129";"SCHLUCHSEE";38;10
"130";"AROLSEN";38;7
"131";"GERABRONN";31;8
"132";"BIRKENFELD";147;7
"133";"WERMELSKIRCHEN";81;12
"134";"JORK";38;4
"135";"RIMPAR";38;6
"136";"ICKING";38;6
"137";"WALD-MICHELBACH";38;15
"138";"FAULBACH";38;8
"139";"MIDLUM";38;6
"140";"GREIMERATH";186;9
"141";"LANGLINGEN";102;4
"142";"LÜBBENAU";33;7
"143";"GERNSBACH";194;7
"144";"HILTENFINGEN";95;10
"145";"FALKENSEE";38;9
"146";"BREUBERG";144;0
"147";"KARSTÄDT";38;8
"148";"STADE";38;5
"149";"ELLENBERG";76;5
"150";"BUSECK";38;6
"151";"MAGSTADT";55;7
"152";"WIEHL";38;5
"153";"STUTTGART";84;0
"154";"OSTRITZ";38;7
"155";"NITTENDORF";113;3
"156";"BUXHEIM";185;6
"157";"GACHENBACH";190;7
"158";"HÜTTENBERG";76;6
"159";"THUMITZ";38;3
"160";"HÖCHHEIM";185;7
"161";"RHEDEN";38;6
"162";"TEMPLIN";38;7
"163";"OBERKOTZAU";38;10
"164";"HINTE";38;5
"165";"BAD BENTHEIM";106;11
"166";"VOLKACH";49;0
"167";"BURGKUNSTADT";55;11
"168";"GRIESBACH IM ROTTAL";194;17
"169";"MELDORF";86;5
"170";"MEHRSTETTEN";101;0
"171";"HOHENPEISSENBERG";76;12
"172";"TEUCHERN";143;7
"173";"WERNECK";143;6
"174";"FREUDENBURG";170;10
"175";"RAINAU";33;5
"176";"THIERHAUPTEN";186;11
"177";"WENDISCH EVERN";143;13
"178";"BUCHHOLZ IN DER NORDHEIDE";116;23
"179";"WERL";38;4
"180";"KIRCHENPINGARTEN";16;13
"181";"GLASHÜTTEN";117;8
"182";"ZELLERTAL";38;9
"183";"EBELEBEN";38;8
"184";"EITERFELD";133;7
"185";"HENNWEILER";19;8
"186";"LEUBSDORF";86;5
"187";"ZAISENHAUSEN";107;7
"188";"HOHENDODELEBEN";38;14
"189";"NEUENBURG AM RHEIN";170;17
"190";"DACHSBACH";194;7
"191";"GREMERSDORF";86;7
"192";"BÜHLERZELL";38;10
"193";"PÖRNBACH";190;7
"194";"DORNBURG";135;7
"195";"KÖNIGS WUSTERHAUSEN";9;15
"196";"ARNBRUCK";38;8
"197";"SOMMERKAHL";3;7
"198";"CASTROP-RAUXEL";15;13
"199";"MOORENWEIS";125;9
"200";"SCHELLERTEN";47;9
"201";"LENGENWANG";102;6
"202";"HEIDE";38;5
"203";"GLONN";31;0
"204";"JONSDORF";86;4
"205";"PIRNA";38;5
"206";"KRIEGSFELD";147;9
"207";"HEININGEN";95;7
"208";"RÜCKERSDORF";86;7
"209";"GROSSROSSELN";23;11
"210";"WESTERRÖNFELD";147;10
"211";"SCHIERSTEDT";74;7
"212";"RHEINFELDEN (BADEN)";176;0
"213";"LINDAU";140;4
"214";"HERDECKE";180;0
"215";"BÜDDENSTEDT";38;11
"216";"GEISELHÖRING";97;9
"217";"HASEL";83;2
"218";"UPGANT-SCHOTT";38;13
"219";"RÖDERSHEIM-GRONAU";33;16
"220";"LANGENHAGEN";28;0
"221";"GERZEN";38;6
"222";"ALHEIM";106;5
"223";"MARKTL";38;6
"224";"EGMATING";104;0
"225";"DINSLAKEN";38;9
"226";"HOHENTHURM";38;8
"227";"LIMESHAIN";38;9
"228";"SIERKSDORF";86;6
"229";"NORTORF";80;5
"230";"FLONHEIM";185;3
"231";"AU IN DER HALLERTAU";38;19
"232";"OELSA";38;5
